BallAcceleration Time DistanceWall DistanceCeil DistanceBall PlayerSpeed BallSpeed up accelerate slow goal left boost camera down right slide jump 
6 
1636.7987723122642 0.0 3498.01 2012.98 299.6682700921136 104267.42623178152 99035.84933750001 0 0 0 0 0 0 0 0 1 0 1 
3198.029396508704 0.13889319999999827 3494.08 2012.98 229.89677966426592 124248.03198843835 102233.87873400871 0 0 0 0 0 1 0 0 1 0 1 
0.0 0.1736165000000014 3494.08 2012.98 237.35059911447462 124248.03198843835 102968.35898954592 0 0 0 0 0 1 0 0 0 0 0 
9914.766241818943 0.3125095999999985 3500.08 2012.98 151.8809207899399 115248.01600895349 112883.12523136486 0 0 0 0 0 0 0 0 1 0 0 
5907.747166307177 0.6250190999999994 3521.65 2013 154.55610437637202 125091.25617324338 118790.87239767204 0 0 0 0 0 0 0 0 1 0 1 
0.0 0.833354400000001 3533.4 2013.1 149.49661400847845 134706.20667586182 128733.31106982373 0 0 0 0 0 1 0 0 0 0 0 
-581.0951350222022 0.9722643999999967 3548.04 2013 148.71516230700888 125937.15823774967 128152.21593480153 0 0 0 0 0 0 0 0 1 0 0 
647.2447550631623 1.041724399999996 3548.04 2013 192.94075178665597 125937.15823774967 128799.46068986469 0 0 0 0 0 1 0 0 1 0 0 
0.0 1.2153415999999986 3576.77 2013.03 221.11355295413262 126848.41392386425 132047.8507246521 0 0 0 0 0 0 0 0 1 0 1 
12766.909897323174 1.4584216999999988 3693.18 2013.15 155.58719291766914 151895.3078735482 144814.76062197526 0 0 0 0 0 0 0 0 1 0 0 
-337.20655214751605 1.493144400000002 3736.42 2013.05 143.67157443280146 150965.60308891558 144477.55406982775 0 0 0 0 0 1 0 0 1 0 0 
740.4545964530262 1.5973244000000015 3781.4 2013.06 139.33980156437713 146909.56629505105 145218.00866628077 0 0 0 0 0 0 0 0 1 0 0 
860.1059881738911 1.805677499999998 3869.59 2013.14 192.7529242320334 145352.91552631478 146078.11465445466 0 0 0 0 0 0 0 0 1 0 1 
4154.8881744843675 1.9445706000000023 3968.51 2013.09 175.696281690877 158377.18523827856 150233.00282893903 0 0 0 0 0 0 0 0 1 0 0 
2909.1949808090285 2.0140244000000003 4019.92 2013 158.84181344973373 157493.8236439766 153142.19780974806 0 0 0 0 0 0 0 0 1 1 0 
-648.5783137179969 2.152934400000003 3967.36 2013.01 145.82514083655127 148187.79233121735 152493.61949603006 0 0 0 0 0 0 0 0 1 0 0 
-1554.7753869008739 2.2571087 3925.57 2013.11 149.18332480542188 146921.80253794874 150938.8441091292 0 0 0 0 0 0 0 0 1 1 0 
-875.1533075232292 2.326551499999997 3889.69 2013.16 151.30884508183917 151460.4105963007 150063.69080160596 0 0 0 0 0 0 0 0 1 1 1 
8347.386885530548 2.4654599000000026 3864.04 2013.16 189.92224777524083 158823.87978197736 158411.0776871365 0 0 0 0 0 0 0 0 1 0 1 
0.0 2.673799599999999 3830.95 2013.08 167.63235188948445 177024.81111414862 162625.25464392055 0 0 0 0 0 0 0 0 1 1 0 
0.0 2.7432498999999986 3829.96 2013.15 153.46173040859412 172570.00418960417 162273.94707407593 0 0 0 1 0 0 0 0 0 1 0 
-403.7625680959609 2.8127002999999995 3840.91 2013.1 144.31392205882284 167269.98460572655 161870.18450597997 0 0 0 1 0 0 0 0 0 0 0 
0.0 3.2641278000000007 3925.61 2010.67 215.19507568715395 150952.87668673293 171985.05951971526 0 1 0 0 0 0 1 0 0 0 0 
-1125.6720544665004 3.3335782000000016 3945.12 1986.9 206.44352690263747 148911.0124503893 170859.38746524876 0 1 0 0 0 0 0 0 0 0 0 
0.0 3.4377575 3970.36 1960.75 238.540115075012 197271.879734543 169158.0558471869 0 1 0 0 0 0 1 0 1 0 0 
33405.14487051504 3.7156243999999994 4015.56 1937.96 238.22356684425657 192221.3530204176 202563.20071770193 0 1 0 0 0 0 0 0 1 0 0 
-4319.103108214447 4.1670703999999965 3892.04 1948.52 336.9098189426958 192416.65830951332 198244.09760948748 0 0 0 0 0 1 0 0 1 0 0 
-585.174527325551 4.340696400000002 3842.44 1972 359.8487951904245 193543.01024061808 197658.92308216193 0 0 0 0 0 0 0 0 1 0 0 
-195896.92308216193 4.618612299999999 3802.64 2005.09 5586.82633731352 188025.31446058 1762.0 0 0 1 0 0 0 0 0 1 1 0 
